,rating,sentiment,review,rating std,sentiment std,mae,spearman,sympathy,unsympathy,count
61,1.0,0.45417219400405884,"와아~ 윤제균 제작이다, 아주 균이네 균 ",2.163010256647671,0.20988952681275197,2.7694455156863573,0.15424244938004003,107.0,66.0,61.0
62,10.0,0.43287256360054016,오늘 공조와 더킹 둘다 봄..둘다 괜찮은데. 개인적으론 공조가 더 맘이 가네요..모처럼 지루할 틈이 없는 영화를 본듯...멋진 현빈. 기대대로의 유해진. 생각이상 김주혁 ..그리고 윤아는 큰 역할이 아님에도 너무 자연스럽게 연기해. 놀랐다는~ ,2.6840420325794194,0.3254898773203108,4.4306751872812,0.12871540344005566,89.0,49.0,62.0
63,1.0,0.01407933235168457,몰입도안되고 그다지 재미없었음 ,3.4270650834942122,0.2905977657378056,3.894380552628461,0.4549500976591028,102.0,62.0,63.0
64,1.0,0.42700231075286865,제발  댓글에 낚여서 보지 마세요 ,3.559026084010437,0.17932232045403468,2.4200451374053955,0.5,123.0,83.0,64.0
65,1.0,0.5562409162521362,양산형 ㅆㄹㄱ영화 보지마셈 ,3.5698461665585204,0.23227100975384538,3.3011079105463894,0.2803138093720059,66.0,27.0,65.0
66,1.0,0.03175190091133118,진짜 언론플레이 개쩌는 영화임 ㄷㄷ돈 아까워 죽겠음 ㄷㄷ 이거 괜히 더킹 사람들 못 보게 하려고 수작 부리는듯 ,4.357106264483344,0.37778550639650604,1.2281171157956123,0.8451542547285167,66.0,27.0,66.0
67,10.0,0.579388439655304,현빈의 액션도 그렇지만 유해진과 윤아의 캐미도 돋보였음 ,1.9166296949998196,0.21825331465184333,3.474462405556724,0.2767201141120194,75.0,36.0,67.0
68,10.0,0.9764926433563232,스릴넘치구 스토리 좋고 추격씬 재밌었어요 ,0.6998542122237652,0.07866753045888432,0.44041495663779123,0.6123724356957946,77.0,38.0,68.0
69,10.0,0.9494655132293701,"가볍게 보러 왔는데, 액션도 좋고~~명절 영화로 딱일듯 ",2.2715633383201097,0.27129233792374974,3.7564228013157845,0.37886973594891943,72.0,34.0,69.0
70,1.0,0.7251713275909424,윤제균제작이다 더이상 무슨말이 필요한가... ,2.705732369307982,0.31394160754542794,3.2519955800639258,0.11007482605747888,101.0,67.0,70.0
71,10.0,0.4220011234283447,김주혁배우님.. 하늘에서는 편히 쉬기 바랍니다 삼가 고인의 명복을 빕니다... ,3.6309218870694533,0.2388942680007123,4.502055071294308,0.23496253030763678,38.0,5.0,71.0
72,8.0,0.6681149005889893,"기대 이상으로 박진감 넘치는 전개에 지루할 틈 없이 본 영화. 남북이라는 다소 빤할 수 있는 소재라고 생각했는데, 역시 현빈, 류해진은 믿고보는 배우였다. 멋있네요. ",1.118033988749895,0.10636234475139185,1.146567165851593,0.39999999999999997,54.0,21.0,72.0
